dataset,model,seed,accuracy,f1,precision,recall,eval_loss,global_step
Twitter17,Bert2Faster,0,0.6807131280388979,0.6506800007052346,0.6670488102602169,0.6392944883315305,1.2973184635241826,896.0
Twitter17,Bert2Faster,42,0.6750405186385737,0.6594172825829904,0.6562531777165924,0.6638502063881458,1.0085449529190857,896.0
Twitter17,Bert2Faster,199,0.6847649918962723,0.666494744080951,0.6787148546050816,0.6568878830342993,1.2178152235200963,896.0
Twitter17,Bert2Faster,2022,0.686385737439222,0.6615688169353339,0.6873973670286855,0.6463873898840393,0.947456127557999,896.0
Twitter17,Bert2Faster,11122,0.6944894651539708,0.6839146951647838,0.6933363334414592,0.676409418554688,1.2322335834973133,896.0
Twitter17,Bert2Res,0,0.692868719611021,0.6583709481038063,0.7059517971295582,0.6398492929096776,0.7168475630191656,896.0
Twitter17,Bert2Res,42,0.6896272285251216,0.6632121779102134,0.6760743439145004,0.6534607162959064,1.1927826257470326,896.0
Twitter17,Bert2Res,199,0.6961102106969206,0.6752402168025861,0.6907996613411923,0.6637241584965213,1.1348801511220443,896.0
Twitter17,Bert2Res,2022,0.6904376012965965,0.6656873509851757,0.6745415288194927,0.659638432613221,1.0080220351616542,896.0
Twitter17,Bert2Res,11122,0.6993517017828201,0.6798626237234037,0.6865510823609932,0.6788078052428169,1.1125656663416288,896.0
Twitter17,Bert2Vit,0,0.6839546191247974,0.6605328724841973,0.6682442295681351,0.654162155323705,1.2435306119613159,896.0
Twitter17,Bert2Vit,42,0.6888168557536467,0.669549784163839,0.6811524707686797,0.6605517425120135,1.0018859629829724,896.0
Twitter17,Bert2Vit,199,0.6904376012965965,0.6638274158618113,0.6805313864719805,0.651992854673313,1.117559043260721,896.0
Twitter17,Bert2Vit,2022,0.6944894651539708,0.675786989082294,0.695456507849539,0.6620078885498955,1.1803425302108128,896.0
Twitter17,Bert2Vit,11122,0.6993517017828201,0.6784850939509686,0.6876662296235617,0.6711886716532914,0.7610519406123039,896.0
Twitter17,Faster22Bert,0,0.6880064829821718,0.6724874304129024,0.6789172928330083,0.6684923593316486,0.8167857378721237,896.0
Twitter17,Faster22Bert,42,0.6920583468395461,0.6690108242801506,0.675037122525707,0.6673962357404898,0.8313725136029415,896.0
Twitter17,Faster22Bert,199,0.6977309562398704,0.6771019064680021,0.6908692046608897,0.6665732159145176,1.1896729163634472,896.0
Twitter17,Faster22Bert,2022,0.6920583468395461,0.6767508909622393,0.6887918081542822,0.6676522507661066,1.2055942632066898,896.0
Twitter17,Faster22Bert,11122,0.7058346839546191,0.679475508516091,0.6973715113614999,0.6668753768583319,1.0772496882157447,896.0
Twitter17,Faster2Bert,0,0.4837925445705024,0.4138485413761974,0.4677199727662302,0.4079368914322665,1.0157558604692802,896.0
Twitter17,Faster2Bert,42,0.6458670988654781,0.595620148586848,0.6415136147660819,0.5827264618310464,0.8437025730426495,896.0
Twitter17,Faster2Bert,199,0.6361426256077796,0.5719859285205234,0.6103627022467601,0.5601977506414494,1.2518012154942904,896.0
